iter,tag,objective_value,triangle_area,var_restore,gini_restore,p90_restore,sequence
-1,baseline,212.25759365702748,212.25759365702748,39586.51188763073,0.6025472084063204,485.2698995999999,[(9, 10), 28, 11, 17, 15, 32, (11, 14)]
0,opt_triangle_sa_init,212.25759365702748,212.25759365702748,39586.51188763073,0.6025472084063204,485.2698995999999,[(9, 10), 28, 11, 17, 15, 32, (11, 14)]
1,opt_triangle_sa_it0000,187.10435254145492,187.10435254145492,37295.72869420763,0.5950433193009936,468.27263300000004,[(9, 10), 28, 11, (11, 14), 15, 32, 17]
2,opt_triangle_sa_it0001,212.25759365702748,212.25759365702748,39586.51188763073,0.6025472084063204,485.2698995999999,[(9, 10), 28, 11, 17, 15, 32, (11, 14)]
3,opt_triangle_sa_it0002,178.2734754646449,178.2734754646449,31642.216651606246,0.5916866029275256,439.608661,[(9, 10), 28, 11, 15, (11, 14), 32, 17]
4,opt_triangle_sa_it0003,179.29865419764164,179.29865419764164,31884.91395438403,0.5882020830670021,439.608661,[(9, 10), 28, 15, 11, (11, 14), 32, 17]
5,opt_triangle_sa_it0004,168.98377568083083,168.98377568083083,32065.618770185403,0.5809123452928464,431.20508,[(9, 10), 28, (11, 14), 15, 11, 32, 17]
6,opt_triangle_sa_it0005,113.29982165191252,113.29982165191252,18227.76906065796,0.590619419308569,320.107799,[(9, 10), 11, (11, 14), 15, 28, 32, 17]
7,opt_triangle_sa_it0006,115.34821068278421,115.34821068278421,16893.478032182553,0.5652699717003375,311.652994,[(9, 10), (11, 14), 11, 15, 28, 32, 17]
8,opt_triangle_sa_it0007,273.2405789725184,273.2405789725184,37155.86424557293,0.49865829862866806,460.14524800000004,[28, 11, (11, 14), 15, (9, 10), 32, 17]
9,opt_triangle_sa_it0008,113.29982165191252,113.29982165191252,18227.76906065796,0.590619419308569,320.107799,[(9, 10), 11, (11, 14), 15, 32, 28, 17]
10,opt_triangle_sa_it0009,108.0698613054087,108.0698613054087,16786.182144057562,0.5929451852858858,312.016702,[(9, 10), 11, (11, 14), 15, 17, 28, 32]
11,opt_triangle_sa_it0010,110.1182503362804,110.1182503362804,15559.120138092587,0.5665258691603885,303.561897,[(9, 10), (11, 14), 11, 15, 17, 28, 32]
12,opt_triangle_sa_it0011,304.68005645891964,304.68005645891964,45816.69613701993,0.5042171421274901,516.9928110000001,[28, 11, (11, 14), 15, 17, (9, 10), 32]
13,opt_triangle_sa_it0012,200.5769908820982,200.5769908820982,23061.419474434195,0.5206790920192752,368.87593400000003,[17, 11, (11, 14), 15, (9, 10), 28, 32]
14,opt_triangle_sa_it0013,130.51162988174895,130.51162988174895,21451.487317993946,0.6075114554124803,355.453683,[(9, 10), 11, 17, 15, (11, 14), 28, 32]
15,opt_triangle_sa_it0014,141.82898080306245,141.82898080306245,23126.221255318862,0.5788625648775665,368.520753,[(9, 10), 17, (11, 14), 15, 11, 28, 32]
16,opt_triangle_sa_it0015,113.29982165191252,113.29982165191252,18227.76906065796,0.590619419308569,320.107799,[(9, 10), 11, (11, 14), 15, 32, 28, 17]
17,opt_triangle_sa_it0016,113.29982165191252,113.29982165191252,18227.76906065796,0.590619419308569,320.107799,[(9, 10), 11, (11, 14), 15, 32, 28, 17]
18,opt_triangle_sa_it0017,304.68005645891964,304.68005645891964,45816.69613701993,0.5042171421274901,516.9928110000001,[28, 11, (11, 14), 15, 17, (9, 10), 32]
19,opt_triangle_sa_it0018,108.0698613054087,108.0698613054087,16786.182144057562,0.5929451852858858,312.016702,[(9, 10), 11, (11, 14), 15, 17, 32, 28]
20,opt_triangle_sa_it0019,304.68005645891964,304.68005645891964,46485.81887841228,0.4759469190274337,516.9928110000001,[32, 11, (11, 14), 15, 17, (9, 10), 28]
21,opt_triangle_sa_it0020,180.03189766109233,180.03189766109233,32357.574991561778,0.6143099010378639,428.4106676,[(9, 10), 11, 28, 15, 17, 32, (11, 14)]
22,opt_triangle_sa_it0021,186.01172433438094,186.01172433438094,41882.2066283954,0.6304560610662633,514.230137,[(9, 10), 11, 32, 15, 17, (11, 14), 28]
