row_kind,experiment_id,source_experiment_id,rule_type,rule_label,description,objective,objective_value,triangle_area,var_restore,gini_restore,p90_restore,min_time_avg_cri,p90_access_restore,share_access_initial,share_access_final,time_avg_share_access,cri_w_e,cri_w_a,cri_threshold,critical_access_threshold,is_primary_setting,is_pareto,session_dir,run_dir,sequence,power_sequence,road_sequence
optimized,baseline_reference,,baseline,Baseline sequence,Baseline repair sequence used as the reference point.,triangle,2007.4514516509362,2007.4514516509362,442367.6423867571,0.18664749008870318,2385.000636,0.36274487665509564,2085.8617940000004,0.125,1.0,0.33729205168717896,0.133,0.867,0.9,0.9,1,0,,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/reference,"[27, 12, 1, 25, 15, 20, 7, 32, 16, 33, 9, 26, 21, (10, 16), (22, 15), (2, 6), (4, 11), (10, 11)]","[27, 12, 1, 25, 15, 20, 7, 32, 16, 33, 9, 26, 21]","[(10, 16), (22, 15), (2, 6), (4, 11), (10, 11)]"
optimized,single_triangle,,single,Single objective: triangle,Pure efficiency objective that minimizes resilience-triangle loss.,triangle,1224.6467508809706,1224.6467508809706,396812.2454268486,0.252591763159546,1862.3094354999998,0.5762637685874272,1575.8373580000002,0.125,1.0,0.48161130946756237,0.133,0.867,0.9,0.9,1,1,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/single_triangle_20260326_072317,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/single_triangle_20260326_072317/best,"[1, 25, 26, 27, 15, 12, 7, 21, 32, 16, 9, 33, 20, (2, 6), (10, 11), (4, 11), (10, 16), (22, 15)]","[1, 25, 26, 27, 15, 12, 7, 21, 32, 16, 9, 33, 20]","[(2, 6), (10, 11), (4, 11), (10, 16), (22, 15)]"
optimized,single_gini_restore,,single,Single objective: gini_restore,Equity objective that reduces restoration-time inequality using Gini.,equity:gini_restore,0.13520898577367624,2321.4970510922126,431362.1451821542,0.13520898577367624,2430.8547630000003,0.21991653039055978,2430.8547630000003,0.125,1.0,0.20365873100566917,0.133,0.867,0.9,0.9,1,1,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/single_gini_restore_20260326_072405,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/single_gini_restore_20260326_072405/best,"[15, 21, 1, 25, 12, 7, 20, 32, 27, 16, 33, 26, 9, (10, 16), (4, 11), (22, 15), (2, 6), (10, 11)]","[15, 21, 1, 25, 12, 7, 20, 32, 27, 16, 33, 26, 9]","[(10, 16), (4, 11), (22, 15), (2, 6), (10, 11)]"
optimized,single_maximin_time_avg_cri,,single,Single objective: maximize minimum time-avg CRI,Equity via maximin: improve the worst-served zone by maximizing the minimum time-averaged CRI.,equity:maximin_time_avg_cri_loss,0.5561815110562682,1633.2490523915292,418049.99692686246,0.26298790552743045,1859.068072,0.44381848894373177,1859.068072,0.125,1.0,0.3618504702294014,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/single_maximin_time_avg_cri_20260326_072457,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/single_maximin_time_avg_cri_20260326_072457/best,"[27, 12, 16, 15, 1, 20, 26, 33, 32, 21, 9, 7, 25, (4, 11), (2, 6), (10, 16), (10, 11), (22, 15)]","[27, 12, 16, 15, 1, 20, 26, 33, 32, 21, 9, 7, 25]","[(4, 11), (2, 6), (10, 16), (10, 11), (22, 15)]"
optimized,single_p90_access_restore,,single,Single objective: p90_access_restore,Critical-access objective that shortens the time by which 90% of zones regain access.,critical_access:p90_access_restore,1541.249742,1539.9986488359575,251234.3312633975,0.17738596980491583,1541.249742,0.25395192093564173,1541.249742,0.125,1.0,0.22599728700662886,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/single_p90_access_restore_20260326_072546,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/single_p90_access_restore_20260326_072546/best,"[1, 25, 9, 33, 21, 20, 26, 32, 16, 27, 7, 12, 15, (10, 11), (22, 15), (4, 11), (2, 6), (10, 16)]","[1, 25, 9, 33, 21, 20, 26, 32, 16, 27, 7, 12, 15]","[(10, 11), (22, 15), (4, 11), (2, 6), (10, 16)]"
optimized,weighted_gini_restore_l050,,weighted_sum,Weighted sum: triangle + 0.5 * equity:gini_restore,Weighted trade-off objective. triangle + 0.5 * equity:gini_restore.,weighted_sum,1.1584474867385668,1482.0968906595617,206103.25092511938,0.15683978752250805,1653.911993,0.3360813177995549,1606.8524341999998,0.125,1.0,0.2378991251239247,0.133,0.867,0.9,0.9,1,1,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/weighted_gini_restore_l050_20260326_072639,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/weighted_gini_restore_l050_20260326_072639/best,"[26, 25, 16, 12, 1, 27, 7, 33, 15, 21, 20, 9, 32, (22, 15), (10, 11), (4, 11), (10, 16), (2, 6)]","[26, 25, 16, 12, 1, 27, 7, 33, 15, 21, 20, 9, 32]","[(22, 15), (10, 11), (4, 11), (10, 16), (2, 6)]"
optimized,guardrail_gini_restore,,guardrail,Guardrail on equity:gini_restore,Triangle minimization with a fairness guardrail. Guardrail on equity:gini_restore.,guardrail,1371.048225183856,1371.048225183856,268411.05299877946,0.17484091512142652,1747.5651859999998,0.39912484302348616,1747.5651859999998,0.125,1.0,0.2587558233388077,0.133,0.867,0.9,0.9,1,1,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/guardrail_gini_restore_20260326_072728,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/guardrail_gini_restore_20260326_072728/best,"[7, 27, 1, 25, 15, 20, 32, 21, 26, 33, 9, 12, 16, (10, 11), (10, 16), (22, 15), (4, 11), (2, 6)]","[7, 27, 1, 25, 15, 20, 32, 21, 26, 33, 9, 12, 16]","[(10, 11), (10, 16), (22, 15), (4, 11), (2, 6)]"
optimized,weighted_maximin_time_avg_cri_l050,,weighted_sum,Weighted sum: triangle + 0.5 * equity:maximin_time_avg_cri_loss,Weighted trade-off objective. triangle + 0.5 * equity:maximin_time_avg_cri_loss.,weighted_sum,1.2290321137249482,1645.2225006278068,406610.617550578,0.2496345878132773,1879.218895,0.47812079476997477,1879.218895,0.125,1.0,0.36278078706294975,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/weighted_maximin_time_avg_cri_l050_20260326_072816,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/weighted_maximin_time_avg_cri_l050_20260326_072816/best,"[16, 12, 27, 15, 1, 32, 26, 33, 20, 21, 9, 7, 25, (10, 11), (2, 6), (10, 16), (22, 15), (4, 11)]","[16, 12, 27, 15, 1, 32, 26, 33, 20, 21, 9, 7, 25]","[(10, 11), (2, 6), (10, 16), (22, 15), (4, 11)]"
