row_kind,experiment_id,source_experiment_id,rule_type,rule_label,objective,objective_value,triangle_area,var_restore,gini_restore,p90_restore,p90_access_restore,share_access_final,cri_w_e,cri_w_a,cri_threshold,critical_access_threshold,is_primary_setting,is_pareto,session_dir,run_dir,sequence
optimized,baseline_reference,,baseline,Baseline sequence,triangle,220.68646431437358,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,0,,results/tradeoff_20260321_150249/reference,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,single_triangle,,single,Single objective: triangle,triangle,140.61188605071408,140.61188605071408,20563.98914223521,0.6093890084150213,365.6978502999999,264.24600589999994,0.9166666666666666,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_150249/single_triangle_20260321_150250,results/tradeoff_20260321_150249/single_triangle_20260321_150250/best,"[(9, 10), 11, 15, (11, 14), 28, 32, 17]"
optimized,single_var_restore,,single,Single objective: var_restore,equity:var_restore,19022.237439836328,228.38138000041405,19022.237439836328,0.48608627660250225,351.83862209999995,426.037234,0.9166666666666666,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_150249/single_var_restore_20260321_150256,results/tradeoff_20260321_150249/single_var_restore_20260321_150256/best,"[32, 28, (9, 10), 15, 11, 17, (11, 14)]"
optimized,single_gini_restore,,single,Single objective: gini_restore,equity:gini_restore,0.4316498982763983,217.04266145561473,23910.95418183156,0.4316498982763983,394.28129409999997,320.447952,0.9166666666666666,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_150249/single_gini_restore_20260321_150303,results/tradeoff_20260321_150249/single_gini_restore_20260321_150303/best,"[28, 15, (11, 14), (9, 10), 32, 11, 17]"
optimized,single_p90_restore,,single,Single objective: p90_restore,equity:p90_restore,364.66859629999993,147.16897045979246,22624.891715384987,0.5716528310708926,364.66859629999993,287.86431,0.9166666666666666,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_150249/single_p90_restore_20260321_150310,results/tradeoff_20260321_150249/single_p90_restore_20260321_150310/best,"[(9, 10), 28, (11, 14), 15, 11, 32, 17]"
optimized,single_p90_access_restore,,single,Single objective: p90_access_restore,critical_access:p90_access_restore,264.24600589999994,140.61188605071408,20563.98914223521,0.6093890084150213,365.6978502999999,264.24600589999994,0.9166666666666666,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_150249/single_p90_access_restore_20260321_150317,results/tradeoff_20260321_150249/single_p90_access_restore_20260321_150317/best,"[(9, 10), 11, 15, (11, 14), 28, 32, 17]"
optimized,weighted_gini_restore_l025,,weighted_sum,Weighted sum: triangle + 0.25 * equity:gini_restore,weighted_sum,0.901662514762839,145.54433597461284,15960.806685273405,0.5885334247740441,335.53495999999996,335.53495999999996,0.9166666666666666,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_150249/weighted_gini_restore_l025_20260321_150324,results/tradeoff_20260321_150249/weighted_gini_restore_l025_20260321_150324/best,"[17, (9, 10), 32, (11, 14), 28, 15, 11]"
optimized,weighted_gini_restore_l050,,weighted_sum,Weighted sum: triangle + 0.5 * equity:gini_restore,weighted_sum,1.2409362424127388,192.8160580434647,13470.320262622285,0.4462524017116316,267.01043400000003,305.933213,0.9166666666666666,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_150249/weighted_gini_restore_l050_20260321_150330,results/tradeoff_20260321_150249/weighted_gini_restore_l050_20260321_150330/best,"[17, 28, 32, 11, (9, 10), 15, (11, 14)]"
optimized,weighted_gini_restore_l100,,weighted_sum,Weighted sum: triangle + 1.0 * equity:gini_restore,weighted_sum,1.4485101385812102,177.68327799528683,18295.911829670717,0.39091191525352476,308.46556389999995,325.675621,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_150249/weighted_gini_restore_l100_20260321_150337,results/tradeoff_20260321_150249/weighted_gini_restore_l100_20260321_150337/best,"[17, (11, 14), 15, 11, 32, (9, 10), 28]"
optimized,guardrail_gini_restore,,guardrail,Guardrail on equity:gini_restore,guardrail,138.06934061961775,138.06934061961775,21566.606717085062,0.563930615223827,344.9965183,307.555108,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_150249/guardrail_gini_restore_20260321_150344,results/tradeoff_20260321_150249/guardrail_gini_restore_20260321_150344/best,"[(9, 10), (11, 14), 17, 28, 32, 11, 15]"
optimized,weighted_p90_restore_l025,,weighted_sum,Weighted sum: triangle + 0.25 * equity:p90_restore,weighted_sum,0.8354386509903194,149.4683426061322,13199.782833608524,0.5855564819386683,294.748328,333.671107,0.9166666666666666,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_150249/weighted_p90_restore_l025_20260321_150351,results/tradeoff_20260321_150249/weighted_p90_restore_l025_20260321_150351/best,"[17, (9, 10), 32, 11, 28, 15, (11, 14)]"
optimized,weighted_p90_restore_l050,,weighted_sum,Weighted sum: triangle + 0.5 * equity:p90_restore,weighted_sum,1.1602451182217315,192.8160580434647,13470.320262622285,0.4462524017116316,267.01043400000003,305.933213,0.9166666666666666,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_150249/weighted_p90_restore_l050_20260321_150358,results/tradeoff_20260321_150249/weighted_p90_restore_l050_20260321_150358/best,"[17, 28, 32, 11, (9, 10), 15, (11, 14)]"
optimized,weighted_p90_restore_l100,,weighted_sum,Weighted sum: triangle + 1.0 * equity:p90_restore,weighted_sum,1.3827426945922912,142.01059944522274,17487.442263718145,0.6133150546182653,344.437998,319.7904398999999,0.9166666666666666,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_150249/weighted_p90_restore_l100_20260321_150404,results/tradeoff_20260321_150249/weighted_p90_restore_l100_20260321_150404/best,"[(9, 10), 17, 11, 15, (11, 14), 28, 32]"
