experiment_id,rule_type,rule_label,description,n_scenarios,triangle_area_mean,triangle_area_std,triangle_area_ci95,gini_restore_mean,gini_restore_std,gini_restore_ci95,var_restore_mean,var_restore_std,var_restore_ci95,p90_restore_mean,p90_restore_std,p90_restore_ci95,min_time_avg_cri_mean,min_time_avg_cri_std,min_time_avg_cri_ci95,p90_access_restore_mean,p90_access_restore_std,p90_access_restore_ci95,share_access_initial_mean,share_access_initial_std,share_access_initial_ci95,share_access_final_mean,share_access_final_std,share_access_final_ci95,time_avg_share_access_mean,time_avg_share_access_std,time_avg_share_access_ci95
baseline_reference,baseline,Baseline sequence,Baseline repair sequence used as the reference point.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
guardrail_gini_restore,guardrail,Guardrail on equity:gini_restore,Triangle minimization with a fairness guardrail. Guardrail on equity:gini_restore.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
guardrail_maximin_time_avg_cri,guardrail,Guardrail on equity:maximin_time_avg_cri_loss,Triangle minimization with a fairness guardrail. Guardrail on equity:maximin_time_avg_cri_loss.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
guardrail_p90_access_restore,guardrail,Guardrail on critical_access:p90_access_restore,Triangle minimization with a fairness guardrail. Guardrail on critical_access:p90_access_restore.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
guardrail_p90_restore,guardrail,Guardrail on equity:p90_restore,Triangle minimization with a fairness guardrail. Guardrail on equity:p90_restore.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
single_gini_restore,single,Single objective: gini_restore,Equity objective that reduces restoration-time inequality using Gini.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
single_maximin_time_avg_cri,single,Single objective: maximize minimum time-avg CRI,Equity via maximin: improve the worst-served zone by maximizing the minimum time-averaged CRI.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
single_p90_access_restore,single,Single objective: p90_access_restore,Critical-access objective that shortens the time by which 90% of zones regain access.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
single_p90_restore,single,Single objective: p90_restore,Equity objective that shortens the time by which 90% of zones recover.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
single_triangle,single,Single objective: triangle,Pure efficiency objective that minimizes resilience-triangle loss.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
single_var_restore,single,Single objective: var_restore,Equity objective that reduces dispersion in restoration times.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
weighted_gini_restore_l025,weighted_sum,Weighted sum: triangle + 0.25 * equity:gini_restore,Weighted trade-off objective. triangle + 0.25 * equity:gini_restore.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
weighted_maximin_time_avg_cri_l025,weighted_sum,Weighted sum: triangle + 0.25 * equity:maximin_time_avg_cri_loss,Weighted trade-off objective. triangle + 0.25 * equity:maximin_time_avg_cri_loss.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
weighted_p90_access_restore_l025,weighted_sum,Weighted sum: triangle + 0.25 * critical_access:p90_access_restore,Weighted trade-off objective. triangle + 0.25 * critical_access:p90_access_restore.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
weighted_p90_restore_l025,weighted_sum,Weighted sum: triangle + 0.25 * equity:p90_restore,Weighted trade-off objective. triangle + 0.25 * equity:p90_restore.,1,2619.690105577136,0.0,0.0,0.13631657468816516,0.0,0.0,503017.1892914207,0.0,0.0,2720.0090789999995,0.0,0.0,0.28128793123134777,0.0,0.0,2720.0090789999995,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.22022191546454514,0.0,0.0
