row_kind,experiment_id,source_experiment_id,rule_type,rule_label,description,objective,objective_value,triangle_area,var_restore,gini_restore,p90_restore,min_time_avg_cri,p90_access_restore,share_access_initial,share_access_final,time_avg_share_access,cri_w_e,cri_w_a,cri_threshold,critical_access_threshold,is_primary_setting,is_pareto,session_dir,run_dir,sequence
optimized,guardrail_gini_restore,,guardrail,Guardrail on equity:gini_restore,Triangle minimization with a fairness guardrail. Guardrail on equity:gini_restore.,guardrail,199.94889212076583,199.94889212076583,14600.585575186285,0.3295127173191157,322.97258999999997,0.2659442078881276,308.97258999999997,0.2916666666666667,1.0,0.3843450246366524,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_163246/guardrail_gini_restore_20260321_163609,results/tradeoff_20260321_163246/guardrail_gini_restore_20260321_163609/best,"[11, 15, (11, 14), 17, (9, 10), 28, 32]"
optimized,weighted_p90_restore_l025,,weighted_sum,Weighted sum: triangle + 0.25 * equity:p90_restore,Weighted trade-off objective. triangle + 0.25 * equity:p90_restore.,weighted_sum,0.7756187774308847,201.55203674249697,9725.075433404036,0.2824893141798348,265.540576,0.4298895372835865,303.1867496,0.2916666666666667,1.0,0.44348222364393425,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_163246/weighted_p90_restore_l025_20260321_163633,results/tradeoff_20260321_163246/weighted_p90_restore_l025_20260321_163633/best,"[15, 11, 32, 28, 17, (9, 10), (11, 14)]"
optimized,weighted_p90_restore_l050,,weighted_sum,Weighted sum: triangle + 0.5 * equity:p90_restore,Weighted trade-off objective. triangle + 0.5 * equity:p90_restore.,weighted_sum,0.9028055500126977,201.55203674249697,9725.075433404036,0.2824893141798348,265.540576,0.4298895372835865,303.1867496,0.2916666666666667,1.0,0.44348222364393425,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_163246/weighted_p90_restore_l050_20260321_163654,results/tradeoff_20260321_163246/weighted_p90_restore_l050_20260321_163654/best,"[15, 11, 32, 28, 17, (9, 10), (11, 14)]"
optimized,weighted_p90_restore_l100,,weighted_sum,Weighted sum: triangle + 1.0 * equity:p90_restore,Weighted trade-off objective. triangle + 1.0 * equity:p90_restore.,weighted_sum,0.9522858944485508,155.02105056213878,9188.487602165484,0.32499180504280556,236.73206900000002,0.487974862167662,315.03082600000005,0.2916666666666667,1.0,0.48169605167992885,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_163246/weighted_p90_restore_l100_20260321_163717,results/tradeoff_20260321_163246/weighted_p90_restore_l100_20260321_163717/best,"[11, 15, (9, 10), 28, 32, 17, (11, 14)]"
optimized,guardrail_p90_restore,,guardrail,Guardrail on equity:p90_restore,Triangle minimization with a fairness guardrail. Guardrail on equity:p90_restore.,guardrail,160.21388204635574,160.21388204635574,14251.995010364257,0.37626439439112347,314.72271,0.3178785644163885,300.72271,0.2916666666666667,1.0,0.41285049396720297,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_163246/guardrail_p90_restore_20260321_163740,results/tradeoff_20260321_163246/guardrail_p90_restore_20260321_163740/best,"[11, 15, (9, 10), (11, 14), 17, 28, 32]"
optimized,weighted_maximin_time_avg_cri_l025,,weighted_sum,Weighted sum: triangle + 0.25 * equity:maximin_time_avg_cri_loss,Equity via maximin: improve the worst-served zone by maximizing the minimum time-averaged CRI.,weighted_sum,0.946961193075458,182.52498944577667,15991.405115337655,0.38030945568552466,370.27576199999993,0.31615574183971934,356.275762,0.2916666666666667,1.0,0.4996194635970201,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_163246/weighted_maximin_time_avg_cri_l025_20260321_163802,results/tradeoff_20260321_163246/weighted_maximin_time_avg_cri_l025_20260321_163802/best,"[(9, 10), 17, 11, 15, (11, 14), 28, 32]"
optimized,weighted_maximin_time_avg_cri_l050,,weighted_sum,Weighted sum: triangle + 0.5 * equity:maximin_time_avg_cri_loss,Equity via maximin: improve the worst-served zone by maximizing the minimum time-averaged CRI.,weighted_sum,1.1644002585242208,185.46190379775152,14880.618644271635,0.2952890605362519,301.016708,0.46039075423915804,379.315465,0.2916666666666667,1.0,0.46831910610341193,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_163246/weighted_maximin_time_avg_cri_l050_20260321_163825,results/tradeoff_20260321_163246/weighted_maximin_time_avg_cri_l050_20260321_163825/best,"[11, (9, 10), 15, 32, 28, 17, (11, 14)]"
optimized,weighted_maximin_time_avg_cri_l100,,weighted_sum,Weighted sum: triangle + 1.0 * equity:maximin_time_avg_cri_loss,Equity via maximin: improve the worst-served zone by maximizing the minimum time-averaged CRI.,weighted_sum,1.911679899327627,292.38789342773504,19584.166926303606,0.28186772470523214,365.271772,0.5385450739430896,430.86748119999993,0.2916666666666667,1.0,0.46135238456440736,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_163246/weighted_maximin_time_avg_cri_l100_20260321_163848,results/tradeoff_20260321_163246/weighted_maximin_time_avg_cri_l100_20260321_163848/best,"[15, 28, 32, 17, 11, (9, 10), (11, 14)]"
optimized,guardrail_maximin_time_avg_cri,,guardrail,Guardrail on equity:maximin_time_avg_cri_loss,Equity via maximin: improve the worst-served zone by maximizing the minimum time-averaged CRI.,guardrail,5396.045168815067,347.32768337018047,30481.428465267458,0.31296152756819806,482.72191849999996,0.5434815926931882,531.1054425,0.2916666666666667,1.0,0.5072438451979275,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_163246/guardrail_maximin_time_avg_cri_20260321_163911,results/tradeoff_20260321_163246/guardrail_maximin_time_avg_cri_20260321_163911/best,"[11, 28, 15, 17, (9, 10), 32, (11, 14)]"
optimized,weighted_p90_access_restore_l025,,weighted_sum,Weighted sum: triangle + 0.25 * critical_access:p90_access_restore,Weighted trade-off objective. triangle + 0.25 * critical_access:p90_access_restore.,weighted_sum,0.7869335136588516,199.202692811248,14624.054566898018,0.36195261516066846,361.980211,0.25792291078382723,367.980211,0.2916666666666667,1.0,0.483764491074766,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_163246/weighted_p90_access_restore_l025_20260321_163933,results/tradeoff_20260321_163246/weighted_p90_access_restore_l025_20260321_163933/best,"[17, (9, 10), 15, 11, (11, 14), 32, 28]"
optimized,weighted_p90_access_restore_l050,,weighted_sum,Weighted sum: triangle + 0.5 * critical_access:p90_access_restore,Weighted trade-off objective. triangle + 0.5 * critical_access:p90_access_restore.,weighted_sum,0.9329933176862881,199.202692811248,14624.054566898018,0.36195261516066846,361.980211,0.25792291078382723,367.980211,0.2916666666666667,1.0,0.483764491074766,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_163246/weighted_p90_access_restore_l050_20260321_163955,results/tradeoff_20260321_163246/weighted_p90_access_restore_l050_20260321_163955/best,"[17, (9, 10), 15, 11, (11, 14), 32, 28]"
optimized,weighted_p90_access_restore_l100,,weighted_sum,Weighted sum: triangle + 1.0 * critical_access:p90_access_restore,Weighted trade-off objective. triangle + 1.0 * critical_access:p90_access_restore.,weighted_sum,0.9849918501015942,160.5665631448243,12369.431749700945,0.36849845857468666,311.82523009999994,0.5,295.03082600000005,0.2916666666666667,1.0,0.5472170364799659,0.5,0.5,0.9,0.9,1,0,results/tradeoff_20260321_163246/weighted_p90_access_restore_l100_20260321_164018,results/tradeoff_20260321_163246/weighted_p90_access_restore_l100_20260321_164018/best,"[15, 11, (9, 10), 28, 17, (11, 14), 32]"
optimized,guardrail_p90_access_restore,,guardrail,Guardrail on critical_access:p90_access_restore,Triangle minimization with a fairness guardrail. Guardrail on critical_access:p90_access_restore.,guardrail,137.09562535626557,137.09562535626557,5914.172321686167,0.35623755278792957,221.53612699999996,0.43268101984778967,296.655447,0.2916666666666667,1.0,0.5731720458122359,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_163246/guardrail_p90_access_restore_20260321_164040,results/tradeoff_20260321_163246/guardrail_p90_access_restore_20260321_164040/best,"[11, 15, (9, 10), 17, 28, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.50_wa0.50_ct0.80_at0.80,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,38317.93769756453,0.532958289962822,431.473377,0.5247687475564559,431.473377,0.2916666666666667,1.0,0.6003260914570532,0.5,0.5,0.8,0.8,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
