row_kind,experiment_id,source_experiment_id,rule_type,rule_label,description,objective,objective_value,triangle_area,var_restore,gini_restore,p90_restore,min_time_avg_cri,p90_access_restore,share_access_initial,share_access_final,time_avg_share_access,cri_w_e,cri_w_a,cri_threshold,critical_access_threshold,is_primary_setting,is_pareto,session_dir,run_dir,sequence,power_sequence,road_sequence
optimized,baseline_reference,,baseline,Baseline sequence,Baseline repair sequence used as the reference point.,triangle,2195.6567373113985,2195.6567373113985,598190.3886513076,0.19495091258076136,2280.0579319999997,0.3771868623959118,2280.0579319999997,0.125,1.0,0.21895948665454057,0.133,0.867,0.9,0.9,1,0,,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/reference,"[8, 19, 26, 11, 24, 10, 21, 31, 13, 5, (18, 16), (11, 10), (13, 24), (12, 13), (1, 3), (14, 11)]","[8, 19, 26, 11, 24, 10, 21, 31, 13, 5]","[(18, 16), (11, 10), (13, 24), (12, 13), (1, 3), (14, 11)]"
optimized,single_triangle,,single,Single objective: triangle,Pure efficiency objective that minimizes resilience-triangle loss.,triangle,995.6353604245336,995.6353604245336,211668.56811492052,0.2796606210800614,1206.188197,0.4479494880303435,1206.188197,0.125,1.0,0.349914978172349,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/single_triangle_20260326_015611,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/single_triangle_20260326_015611/best,"[31, 8, 21, 19, 5, 10, 11, 13, 26, 24, (11, 10), (14, 11), (13, 24), (12, 13), (1, 3), (18, 16)]","[31, 8, 21, 19, 5, 10, 11, 13, 26, 24]","[(11, 10), (14, 11), (13, 24), (12, 13), (1, 3), (18, 16)]"
optimized,single_gini_restore,,single,Single objective: gini_restore,Equity objective that reduces restoration-time inequality using Gini.,equity:gini_restore,0.10670017631804063,809.3761518165479,53009.14188588169,0.10670017631804063,774.0788719999998,0.4398816786147025,1022.1904869999998,0.125,1.0,0.3019964381189625,0.133,0.867,0.9,0.9,1,1,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/single_gini_restore_20260326_015658,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/single_gini_restore_20260326_015658/best,"[26, 13, 10, 31, 24, 11, 21, 8, 19, 5, (18, 16), (13, 24), (14, 11), (11, 10), (12, 13), (1, 3)]","[26, 13, 10, 31, 24, 11, 21, 8, 19, 5]","[(18, 16), (13, 24), (14, 11), (11, 10), (12, 13), (1, 3)]"
optimized,single_maximin_time_avg_cri,,single,Single objective: maximize minimum time-avg CRI,Equity via maximin: improve the worst-served zone by maximizing the minimum time-averaged CRI.,equity:maximin_time_avg_cri_loss,0.43301675577718635,2157.04448011624,1150130.9293070391,0.2985376821674288,2707.3069240000004,0.5669832442228137,2707.3069240000004,0.125,1.0,0.4014275051001446,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/single_maximin_time_avg_cri_20260326_015743,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/single_maximin_time_avg_cri_20260326_015743/best,"[8, 5, 13, 11, 19, 10, 21, 31, 26, 24, (12, 13), (11, 10), (1, 3), (13, 24), (18, 16), (14, 11)]","[8, 5, 13, 11, 19, 10, 21, 31, 26, 24]","[(12, 13), (11, 10), (1, 3), (13, 24), (18, 16), (14, 11)]"
optimized,single_p90_access_restore,,single,Single objective: p90_access_restore,Critical-access objective that shortens the time by which 90% of zones regain access.,critical_access:p90_access_restore,1126.0849869999997,1257.107670380583,155465.97171403078,0.1761668927080291,1536.1002283999999,0.5463163500502133,1126.0849869999997,0.125,1.0,0.39722753531937477,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/single_p90_access_restore_20260326_015828,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/single_p90_access_restore_20260326_015828/best,"[31, 8, 5, 10, 24, 11, 26, 13, 21, 19, (11, 10), (18, 16), (13, 24), (1, 3), (12, 13), (14, 11)]","[31, 8, 5, 10, 24, 11, 26, 13, 21, 19]","[(11, 10), (18, 16), (13, 24), (1, 3), (12, 13), (14, 11)]"
optimized,weighted_gini_restore_l050,,weighted_sum,Weighted sum: triangle + 0.5 * equity:gini_restore,Weighted trade-off objective. triangle + 0.5 * equity:gini_restore.,weighted_sum,0.7804910450875466,1068.682963873949,120499.6413604105,0.11453957293052741,1291.381415,0.39003836516388457,1291.381415,0.125,1.0,0.16719833666131342,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/weighted_gini_restore_l050_20260326_015913,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/weighted_gini_restore_l050_20260326_015913/best,"[24, 8, 19, 21, 5, 11, 10, 26, 13, 31, (11, 10), (13, 24), (12, 13), (14, 11), (18, 16), (1, 3)]","[24, 8, 19, 21, 5, 11, 10, 26, 13, 31]","[(11, 10), (13, 24), (12, 13), (14, 11), (18, 16), (1, 3)]"
optimized,guardrail_gini_restore,,guardrail,Guardrail on equity:gini_restore,Triangle minimization with a fairness guardrail. Guardrail on equity:gini_restore.,guardrail,1002.0340264471492,1002.0340264471492,115643.969817663,0.15142535756416464,1206.188197,0.42101828015635095,1206.188197,0.125,1.0,0.22866517373573672,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/guardrail_gini_restore_20260326_020001,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/guardrail_gini_restore_20260326_020001/best,"[31, 21, 8, 19, 5, 10, 11, 13, 26, 24, (11, 10), (14, 11), (13, 24), (12, 13), (18, 16), (1, 3)]","[31, 21, 8, 19, 5, 10, 11, 13, 26, 24]","[(11, 10), (14, 11), (13, 24), (12, 13), (18, 16), (1, 3)]"
optimized,weighted_maximin_time_avg_cri_l050,,weighted_sum,Weighted sum: triangle + 0.5 * equity:maximin_time_avg_cri_loss,Weighted trade-off objective. triangle + 0.5 * equity:maximin_time_avg_cri_loss.,weighted_sum,0.8558608487526915,1031.7106791344368,427682.0297274227,0.28475492175324746,1515.0376390000001,0.5192209015545668,1515.0376390000001,0.125,1.0,0.3056274400366014,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/weighted_maximin_time_avg_cri_l050_20260326_020045,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/weighted_maximin_time_avg_cri_l050_20260326_020045/best,"[10, 11, 13, 26, 21, 5, 24, 19, 31, 8, (12, 13), (11, 10), (1, 3), (14, 11), (13, 24), (18, 16)]","[10, 11, 13, 26, 21, 5, 24, 19, 31, 8]","[(12, 13), (11, 10), (1, 3), (14, 11), (13, 24), (18, 16)]"
