row_kind,experiment_id,source_experiment_id,rule_type,rule_label,description,objective,objective_value,triangle_area,var_restore,gini_restore,p90_restore,min_time_avg_cri,p90_access_restore,share_access_initial,share_access_final,time_avg_share_access,cri_w_e,cri_w_a,cri_threshold,critical_access_threshold,is_primary_setting,is_pareto,session_dir,run_dir,sequence,power_sequence,road_sequence
optimized,baseline_reference,,baseline,Baseline sequence,Baseline repair sequence used as the reference point.,triangle,753.9947938450583,753.9947938450583,71395.13270714822,0.1625658703474513,843.7250199999997,0.3123684519648734,843.7250199999997,0.25,1.0,0.3255723538833383,0.133,0.867,0.9,0.9,1,0,,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/reference,"[7, 29, 25, 19, 17, 18, 3, 14, 33, (12, 13), (11, 12), (11, 4), (19, 15)]","[7, 29, 25, 19, 17, 18, 3, 14, 33]","[(12, 13), (11, 12), (11, 4), (19, 15)]"
optimized,single_triangle,,single,Single objective: triangle,Pure efficiency objective that minimizes resilience-triangle loss.,triangle,608.9312755671065,608.9312755671065,78991.73086051425,0.21767568007462557,823.7239179999998,0.4462073504202005,823.7239179999998,0.25,1.0,0.34073547599921294,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/single_triangle_20260325_220127,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/single_triangle_20260325_220127/best,"[7, 3, 25, 19, 17, 18, 29, 33, 14, (12, 13), (11, 12), (11, 4), (19, 15)]","[7, 3, 25, 19, 17, 18, 29, 33, 14]","[(12, 13), (11, 12), (11, 4), (19, 15)]"
optimized,single_gini_restore,,single,Single objective: gini_restore,Equity objective that reduces restoration-time inequality using Gini.,equity:gini_restore,0.1616195522743562,824.1782839493173,70489.51702220687,0.1616195522743562,843.7250199999997,0.2677044426261138,843.7250199999997,0.25,1.0,0.2972074915474238,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/single_gini_restore_20260325_220135,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/single_gini_restore_20260325_220135/best,"[7, 29, 25, 19, 17, 18, 3, 14, 33, (19, 15), (12, 13), (11, 4), (11, 12)]","[7, 29, 25, 19, 17, 18, 3, 14, 33]","[(19, 15), (12, 13), (11, 4), (11, 12)]"
optimized,single_maximin_time_avg_cri,,single,Single objective: maximize minimum time-avg CRI,Equity via maximin: improve the worst-served zone by maximizing the minimum time-averaged CRI.,equity:maximin_time_avg_cri_loss,0.6042942497712726,795.564262894168,122707.71133887437,0.24337029459326032,976.5306259999999,0.39570575022872745,976.5306259999999,0.25,1.0,0.32045129649284204,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/single_maximin_time_avg_cri_20260325_220141,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/single_maximin_time_avg_cri_20260325_220141/best,"[3, 18, 17, 19, 25, 29, 7, 33, 14, (11, 12), (19, 15), (11, 4), (12, 13)]","[3, 18, 17, 19, 25, 29, 7, 33, 14]","[(11, 12), (19, 15), (11, 4), (12, 13)]"
optimized,single_p90_access_restore,,single,Single objective: p90_access_restore,Critical-access objective that shortens the time by which 90% of zones regain access.,critical_access:p90_access_restore,688.5805799999999,606.5303324690099,46332.06200097754,0.18626986759347397,688.5805799999999,0.3416031434092108,688.5805799999999,0.25,1.0,0.3472649600186711,0.133,0.867,0.9,0.9,1,1,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/single_p90_access_restore_20260325_220147,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/single_p90_access_restore_20260325_220147/best,"[7, 18, 33, 19, 17, 29, 3, 14, 25, (11, 12), (12, 13), (11, 4), (19, 15)]","[7, 18, 33, 19, 17, 29, 3, 14, 25]","[(11, 12), (12, 13), (11, 4), (19, 15)]"
optimized,weighted_gini_restore_l050,,weighted_sum,Weighted sum: triangle + 0.5 * equity:gini_restore,Weighted trade-off objective. triangle + 0.5 * equity:gini_restore.,weighted_sum,1.3324377848864941,632.0563852971632,36236.19848939551,0.1606674029610735,688.5805799999999,0.31484220197389345,688.5805799999999,0.25,1.0,0.32578599273498726,0.133,0.867,0.9,0.9,1,1,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/weighted_gini_restore_l050_20260325_220153,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/weighted_gini_restore_l050_20260325_220153/best,"[7, 18, 33, 19, 17, 29, 3, 14, 25, (11, 4), (12, 13), (19, 15), (11, 12)]","[7, 18, 33, 19, 17, 29, 3, 14, 25]","[(11, 4), (12, 13), (19, 15), (11, 12)]"
optimized,guardrail_gini_restore,,guardrail,Guardrail on equity:gini_restore,Triangle minimization with a fairness guardrail. Guardrail on equity:gini_restore.,guardrail,1901.875283319193,755.3878631366359,67688.16308078973,0.15558406425026128,823.7239179999998,0.29258105787996463,823.7239179999998,0.25,1.0,0.31585976652029996,0.133,0.867,0.9,0.9,1,1,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/guardrail_gini_restore_20260325_220159,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/guardrail_gini_restore_20260325_220159/best,"[7, 29, 25, 19, 17, 18, 3, 33, 14, (12, 13), (11, 4), (11, 12), (19, 15)]","[7, 29, 25, 19, 17, 18, 3, 33, 14]","[(12, 13), (11, 4), (11, 12), (19, 15)]"
optimized,weighted_maximin_time_avg_cri_l050,,weighted_sum,Weighted sum: triangle + 0.5 * equity:maximin_time_avg_cri_loss,Weighted trade-off objective. triangle + 0.5 * equity:maximin_time_avg_cri_loss.,weighted_sum,1.1788522543965798,596.8282941941642,83635.5256163008,0.23497855160365844,831.3808779999999,0.4673642787782556,831.3808779999999,0.25,1.0,0.34648610026125715,0.133,0.867,0.9,0.9,1,1,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/weighted_maximin_time_avg_cri_l050_20260325_220208,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_220126/weighted_maximin_time_avg_cri_l050_20260325_220208/best,"[7, 3, 25, 19, 29, 18, 17, 33, 14, (11, 12), (11, 4), (19, 15), (12, 13)]","[7, 3, 25, 19, 29, 18, 17, 33, 14]","[(11, 12), (11, 4), (19, 15), (12, 13)]"
