scenario_id,scenario_seed,broken_bus_count,broken_link_count,study_result_dir,csv_path
scenario_067,20260391,9,9,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_064808,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_064808/tradeoff_summary.csv
scenario_068,20260392,10,4,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_065429,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_065429/tradeoff_summary.csv
scenario_069,20260393,14,3,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_065922,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_065922/tradeoff_summary.csv
scenario_070,20260394,11,5,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_070510,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_070510/tradeoff_summary.csv
scenario_071,20260395,13,11,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_071023,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_071023/tradeoff_summary.csv
scenario_072,20260396,10,5,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_071817,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_071817/tradeoff_summary.csv
scenario_073,20260397,13,5,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072317/tradeoff_summary.csv
scenario_074,20260398,11,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072909,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_072909/tradeoff_summary.csv
scenario_075,20260399,10,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_073502,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_073502/tradeoff_summary.csv
scenario_076,20260400,8,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_074015,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_074015/tradeoff_summary.csv
scenario_077,20260401,8,8,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_074506,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_074506/tradeoff_summary.csv
scenario_078,20260402,13,9,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_075018,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_075018/tradeoff_summary.csv
scenario_079,20260403,9,13,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_075741,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_075741/tradeoff_summary.csv
scenario_080,20260404,15,5,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_080455,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_080455/tradeoff_summary.csv
scenario_081,20260405,13,4,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_081126,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_081126/tradeoff_summary.csv
scenario_082,20260406,13,10,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_081712,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_081712/tradeoff_summary.csv
scenario_083,20260407,13,3,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_082516,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_082516/tradeoff_summary.csv
scenario_084,20260408,9,10,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_083036,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_083036/tradeoff_summary.csv
scenario_085,20260409,14,7,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_083715,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_083715/tradeoff_summary.csv
scenario_086,20260410,10,7,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_084419,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_084419/tradeoff_summary.csv
scenario_087,20260411,9,13,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_084953,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_084953/tradeoff_summary.csv
scenario_088,20260412,10,3,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_085727,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_085727/tradeoff_summary.csv
scenario_089,20260413,12,13,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_090154,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_090154/tradeoff_summary.csv
scenario_090,20260414,14,5,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_091022,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_091022/tradeoff_summary.csv
scenario_091,20260415,13,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_091650,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_091650/tradeoff_summary.csv
scenario_092,20260416,12,8,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_092306,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_092306/tradeoff_summary.csv
scenario_093,20260417,8,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_092927,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_092927/tradeoff_summary.csv
scenario_094,20260418,14,4,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_093425,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_093425/tradeoff_summary.csv
scenario_095,20260419,15,8,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_094035,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_094035/tradeoff_summary.csv
scenario_096,20260420,12,13,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_094816,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_094816/tradeoff_summary.csv
scenario_097,20260421,12,12,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_095636,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_095636/tradeoff_summary.csv
scenario_098,20260422,9,12,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_100551,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_100551/tradeoff_summary.csv
scenario_099,20260423,13,13,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_101243,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_101243/tradeoff_summary.csv
scenario_100,20260424,8,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_102128,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_102128/tradeoff_summary.csv
