iter,tag,objective_value,triangle_area,var_restore,gini_restore,p90_restore,p90_access_restore,sequence
-1,baseline,26097813.994871534,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,629.845106,[(9, 10), 28, 11, 17, 15, 32, (11, 14)]
0,guardrail_p90_restore_sa_init,26097813.994871534,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,629.845106,[(9, 10), 28, 11, 17, 15, 32, (11, 14)]
1,guardrail_p90_restore_sa_it0000,121954816.64372541,305.77872521178585,59294.88258326664,0.3809061313212536,617.8070710000001,617.8070710000001,[(9, 10), 28, 11, (11, 14), 15, 32, 17]
2,guardrail_p90_restore_sa_it0001,326.58595103303867,326.58595103303867,27565.077980827948,0.33207465342776366,450.8320874999999,484.3298300999998,[17, 28, 11, (9, 10), 15, 32, (11, 14)]
3,guardrail_p90_restore_sa_it0002,330.57832726735467,330.57832726735467,28058.043841416857,0.3255451320460272,450.8320874999999,484.3298300999998,[17, 28, 15, (9, 10), 11, 32, (11, 14)]
4,guardrail_p90_restore_sa_it0003,167277674.65078104,372.7857809156893,80235.61346358914,0.38554095645754116,663.129862,663.129862,[17, 28, (11, 14), (9, 10), 15, 32, 11]
5,guardrail_p90_restore_sa_it0004,330.57832726735467,330.57832726735467,28058.043841416857,0.3255451320460272,450.8320874999999,484.3298300999998,[17, 28, 15, (9, 10), 11, 32, (11, 14)]
6,guardrail_p90_restore_sa_it0005,235.86297183595153,235.86297183595153,13167.749192323397,0.34305094830880245,334.82171900000003,409.94103900000005,[17, 15, 11, (9, 10), 28, 32, (11, 14)]
7,guardrail_p90_restore_sa_it0006,235.08243524517135,235.08243524517135,13167.749192323397,0.34305094830880245,334.82171900000003,409.94103900000005,[17, 11, 15, (9, 10), 28, 32, (11, 14)]
8,guardrail_p90_restore_sa_it0007,223.0149277116362,223.0149277116362,13005.609536559508,0.33904414785276193,334.82171900000003,409.94103900000005,[11, 17, 15, (9, 10), 28, 32, (11, 14)]
9,guardrail_p90_restore_sa_it0008,276.77949226661997,276.77949226661997,25817.30764639446,0.3467660822494636,444.4703514999999,477.96809409999986,[11, 17, 28, (9, 10), 15, 32, (11, 14)]
10,guardrail_p90_restore_sa_it0009,223.66599244184243,223.66599244184243,13249.612385240065,0.3407090825064092,340.82171900000003,409.94103900000005,[11, 17, 15, (9, 10), 32, 28, (11, 14)]
11,guardrail_p90_restore_sa_it0010,182.08321626242372,182.08321626242372,10133.039688322204,0.38483304895920245,290.132121,365.251441,[11, 15, 17, (9, 10), 28, 32, (11, 14)]
12,guardrail_p90_restore_sa_it0011,130835751.1316614,465.26666123304767,62420.649627759056,0.2551708527810024,626.687846,702.272109,[32, 15, 17, (9, 10), 28, 11, (11, 14)]
13,guardrail_p90_restore_sa_it0012,187.45047865335235,187.45047865335235,15392.308049537613,0.4259602872313968,364.7996761999999,345.251441,[11, 15, 17, (9, 10), 28, (11, 14), 32]
14,guardrail_p90_restore_sa_it0013,23575915.46623897,394.1012389857047,37426.59341242258,0.3059333415386676,519.4280814999998,552.9258240999998,[28, 15, 17, (9, 10), 11, 32, (11, 14)]
15,guardrail_p90_restore_sa_it0014,218.56058513272578,218.56058513272578,13444.433706980008,0.30985736856684776,303.14703259999993,351.53055659999984,[11, 15, 28, (9, 10), 17, 32, (11, 14)]
16,guardrail_p90_restore_sa_it0015,279.9830919342201,279.9830919342201,25333.035122046083,0.3406350333334618,444.4703514999999,477.96809409999986,[11, 28, 17, (9, 10), 15, 32, (11, 14)]
17,guardrail_p90_restore_sa_it0016,178.3549694473701,178.3549694473701,15091.54764934937,0.422194495269141,361.914901,367.914901,[11, 15, 17, (9, 10), (11, 14), 32, 28]
18,guardrail_p90_restore_sa_it0017,232.1347250208979,232.1347250208979,18328.318805063587,0.3763101339218755,406.6044989999999,412.604499,[17, 15, 11, (9, 10), (11, 14), 32, 28]
19,guardrail_p90_restore_sa_it0018,297.6337730299673,297.6337730299673,26712.335898612848,0.3219342527743525,474.5628029999999,480.5628029999999,[(11, 14), 15, 17, (9, 10), 11, 32, 28]
20,guardrail_p90_restore_sa_it0019,219.6949298865879,219.6949298865879,16822.595438285873,0.40994011037979705,350.943111,350.943111,[11, 15, 17, 28, (11, 14), 32, (9, 10)]
21,guardrail_p90_restore_sa_it0020,177.50001066768053,177.50001066768053,15091.54764934937,0.422194495269141,361.914901,347.914901,[11, 15, 17, (9, 10), (11, 14), 28, 32]
22,guardrail_p90_restore_sa_it0021,156790973.28891116,418.9239111102142,60719.18634931191,0.3314982672738178,652.6431144999999,652.6431144999999,[28, 15, 17, (9, 10), (11, 14), 11, 32]
23,guardrail_p90_restore_sa_it0022,229.77543853003672,229.77543853003672,21853.22653525867,0.31507925697770545,387.4834,387.4834,[11, 15, 32, (9, 10), (11, 14), 28, 17]
24,guardrail_p90_restore_sa_it0023,224.26686759463178,224.26686759463178,21230.633150741767,0.3540704409434996,387.91289059999997,367.48034700000005,[11, 15, 28, (9, 10), (11, 14), 17, 32]
25,guardrail_p90_restore_sa_it0024,20565347.30455501,272.4395548570372,32850.235961340106,0.33346536511971525,516.417635,502.4176349999999,[11, (11, 14), 17, (9, 10), 15, 28, 32]
26,guardrail_p90_restore_sa_it0025,257.9569264167654,257.9569264167654,32111.63110162989,0.3159881956546371,469.684816,469.684816,[11, 32, 17, (9, 10), (11, 14), 28, 15]
27,guardrail_p90_restore_sa_it0026,208.5134981638759,208.5134981638759,20227.4964684363,0.35425973342982475,414.95352699999995,400.95352699999995,[(9, 10), 15, 17, 11, (11, 14), 28, 32]
