iter,tag,objective_value,triangle_area,sequence
-1,baseline,11.383138034322203,11.383138034322203,[11, (1, 3), 15]
0,opt_sa_sa_init,11.383138034322203,11.383138034322203,[11, (1, 3), 15]
1,opt_sa_sa_it0000,13.598363105142967,13.598363105142967,[11, 15, (1, 3)]
2,opt_sa_sa_it0001,11.383138034322203,11.383138034322203,[11, (1, 3), 15]
3,opt_sa_sa_it0002,13.598363105142967,13.598363105142967,[11, 15, (1, 3)]
4,opt_sa_sa_it0003,9.845094594726499,9.845094594726499,[(1, 3), 11, 15]
5,opt_sa_sa_it0004,14.556595520055978,14.556595520055978,[15, 11, (1, 3)]
6,opt_sa_sa_it0005,11.383138034322203,11.383138034322203,[11, (1, 3), 15]
7,opt_sa_sa_it0006,14.556595520055978,14.556595520055978,[15, 11, (1, 3)]
8,opt_sa_sa_it0007,14.556595520055978,14.556595520055978,[15, 11, (1, 3)]
9,opt_sa_sa_it0008,11.224474594318416,11.224474594318416,[(1, 3), 15, 11]
10,opt_sa_sa_it0009,11.383138034322203,11.383138034322203,[11, (1, 3), 15]
11,opt_sa_sa_it0010,14.556595520055978,14.556595520055978,[15, 11, (1, 3)]
12,opt_sa_sa_it0011,11.224474594318416,11.224474594318416,[(1, 3), 15, 11]
13,opt_sa_sa_it0012,11.383138034322203,11.383138034322203,[11, (1, 3), 15]
14,opt_sa_sa_it0013,14.556595520055978,14.556595520055978,[15, 11, (1, 3)]
15,opt_sa_sa_it0014,11.383138034322203,11.383138034322203,[11, (1, 3), 15]
16,opt_sa_sa_it0015,11.383138034322203,11.383138034322203,[11, (1, 3), 15]
17,opt_sa_sa_it0016,14.556595520055978,14.556595520055978,[15, 11, (1, 3)]
18,opt_sa_sa_it0017,14.556595520055978,14.556595520055978,[15, 11, (1, 3)]
19,opt_sa_sa_it0018,11.383138034322203,11.383138034322203,[11, (1, 3), 15]
20,opt_sa_sa_it0019,11.224474594318416,11.224474594318416,[(1, 3), 15, 11]
21,opt_sa_sa_it0020,11.224474594318416,11.224474594318416,[(1, 3), 15, 11]
22,opt_sa_sa_it0021,11.224474594318416,11.224474594318416,[(1, 3), 15, 11]
23,opt_sa_sa_it0022,14.556595520055978,14.556595520055978,[15, 11, (1, 3)]
24,opt_sa_sa_it0023,11.224474594318416,11.224474594318416,[(1, 3), 15, 11]
25,opt_sa_sa_it0024,11.224474594318416,11.224474594318416,[(1, 3), 15, 11]
26,opt_sa_sa_it0025,11.383138034322203,11.383138034322203,[11, (1, 3), 15]
27,opt_sa_sa_it0026,14.556595520055978,14.556595520055978,[15, 11, (1, 3)]
28,opt_sa_sa_it0027,11.224474594318416,11.224474594318416,[(1, 3), 15, 11]
29,opt_sa_sa_it0028,14.556595520055978,14.556595520055978,[15, 11, (1, 3)]
30,opt_sa_sa_it0029,14.556595520055978,14.556595520055978,[15, 11, (1, 3)]
