row_kind,experiment_id,source_experiment_id,rule_type,rule_label,description,objective,objective_value,triangle_area,var_restore,gini_restore,p90_restore,min_time_avg_cri,p90_access_restore,share_access_initial,share_access_final,time_avg_share_access,cri_w_e,cri_w_a,cri_threshold,critical_access_threshold,is_primary_setting,is_pareto,session_dir,run_dir,sequence,power_sequence,road_sequence
optimized,baseline_reference,,baseline,Baseline sequence,Baseline repair sequence used as the reference point.,triangle,1187.8952660676796,1187.8952660676796,160571.8377347648,0.16776669857136906,1274.8769320000001,0.27159047717861395,1274.8769320000001,0.25,1.0,0.30170724843737307,0.133,0.867,0.9,0.9,1,0,,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/reference,"[23, 14, 4, 10, 32, 11, 2, 31, 22, 18, 26, (16, 10), (10, 17), (10, 16), (21, 22), (20, 22), (3, 4)]","[23, 14, 4, 10, 32, 11, 2, 31, 22, 18, 26]","[(16, 10), (10, 17), (10, 16), (21, 22), (20, 22), (3, 4)]"
optimized,single_triangle,,single,Single objective: triangle,Pure efficiency objective that minimizes resilience-triangle loss.,triangle,1050.642845403565,1050.642845403565,233606.1040302431,0.20973649727735322,1348.7988500000001,0.36599161386269385,1348.7988500000001,0.25,1.0,0.30600127519632253,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/single_triangle_20260325_215054,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/single_triangle_20260325_215054/best,"[2, 14, 4, 10, 32, 11, 23, 31, 22, 18, 26, (10, 17), (16, 10), (10, 16), (20, 22), (21, 22), (3, 4)]","[2, 14, 4, 10, 32, 11, 23, 31, 22, 18, 26]","[(10, 17), (16, 10), (10, 16), (20, 22), (21, 22), (3, 4)]"
optimized,single_gini_restore,,single,Single objective: gini_restore,Equity objective that reduces restoration-time inequality using Gini.,equity:gini_restore,0.14677363496101736,1053.4970225786146,112999.37261826954,0.14677363496101736,1103.825114,0.2305973474072188,1103.825114,0.25,1.0,0.28189187740145344,0.133,0.867,0.9,0.9,1,1,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/single_gini_restore_20260325_215101,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/single_gini_restore_20260325_215101/best,"[23, 11, 32, 10, 14, 2, 18, 22, 31, 4, 26, (10, 16), (16, 10), (20, 22), (10, 17), (21, 22), (3, 4)]","[23, 11, 32, 10, 14, 2, 18, 22, 31, 4, 26]","[(10, 16), (16, 10), (20, 22), (10, 17), (21, 22), (3, 4)]"
optimized,single_maximin_time_avg_cri,,single,Single objective: maximize minimum time-avg CRI,Equity via maximin: improve the worst-served zone by maximizing the minimum time-averaged CRI.,equity:maximin_time_avg_cri_loss,0.5852040653085256,955.1275923308295,162768.5056380188,0.18448882934863153,1253.602523,0.41479593469147436,1253.602523,0.25,1.0,0.31139988550023046,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/single_maximin_time_avg_cri_20260325_215111,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/single_maximin_time_avg_cri_20260325_215111/best,"[23, 32, 22, 10, 14, 26, 2, 31, 4, 18, 11, (10, 17), (21, 22), (20, 22), (10, 16), (3, 4), (16, 10)]","[23, 32, 22, 10, 14, 26, 2, 31, 4, 18, 11]","[(10, 17), (21, 22), (20, 22), (10, 16), (3, 4), (16, 10)]"
optimized,single_p90_access_restore,,single,Single objective: p90_access_restore,Critical-access objective that shortens the time by which 90% of zones regain access.,critical_access:p90_access_restore,867.394473,840.7785530120319,75250.74584851661,0.15802238074592556,867.394473,0.2291104409882941,867.394473,0.25,1.0,0.2792275075402746,0.133,0.867,0.9,0.9,1,1,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/single_p90_access_restore_20260325_215119,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/single_p90_access_restore_20260325_215119/best,"[23, 18, 32, 10, 14, 11, 2, 31, 22, 4, 26, (21, 22), (16, 10), (20, 22), (10, 16), (10, 17), (3, 4)]","[23, 18, 32, 10, 14, 11, 2, 31, 22, 4, 26]","[(21, 22), (16, 10), (20, 22), (10, 16), (10, 17), (3, 4)]"
optimized,weighted_gini_restore_l050,,weighted_sum,Weighted sum: triangle + 0.5 * equity:gini_restore,Weighted trade-off objective. triangle + 0.5 * equity:gini_restore.,weighted_sum,1.3565067666103998,1066.5576937064686,127343.37420522817,0.15389298829635933,1210.456692,0.279883340516682,1210.456692,0.25,1.0,0.3006643973967142,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/weighted_gini_restore_l050_20260325_215127,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/weighted_gini_restore_l050_20260325_215127/best,"[23, 14, 22, 10, 32, 11, 2, 31, 4, 18, 26, (21, 22), (10, 17), (20, 22), (10, 16), (16, 10), (3, 4)]","[23, 14, 22, 10, 32, 11, 2, 31, 4, 18, 26]","[(21, 22), (10, 17), (20, 22), (10, 16), (16, 10), (3, 4)]"
optimized,guardrail_gini_restore,,guardrail,Guardrail on equity:gini_restore,Triangle minimization with a fairness guardrail. Guardrail on equity:gini_restore.,guardrail,1058.1066247931724,1058.1066247931724,131383.32990268795,0.15681725231601074,1210.456692,0.2793939261472752,1210.456692,0.25,1.0,0.3032198889001364,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/guardrail_gini_restore_20260325_215135,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/guardrail_gini_restore_20260325_215135/best,"[23, 14, 22, 10, 32, 11, 2, 31, 4, 18, 26, (10, 17), (21, 22), (20, 22), (10, 16), (16, 10), (3, 4)]","[23, 14, 22, 10, 32, 11, 2, 31, 4, 18, 26]","[(10, 17), (21, 22), (20, 22), (10, 16), (16, 10), (3, 4)]"
optimized,weighted_maximin_time_avg_cri_l050,,weighted_sum,Weighted sum: triangle + 0.5 * equity:maximin_time_avg_cri_loss,Weighted trade-off objective. triangle + 0.5 * equity:maximin_time_avg_cri_loss.,weighted_sum,1.3623042136609134,1061.706196695552,227119.63120765696,0.22627215726221084,1335.71593,0.3174317152615917,1335.71593,0.25,1.0,0.31680523829643925,0.133,0.867,0.9,0.9,1,0,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/weighted_maximin_time_avg_cri_l050_20260325_215143,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_215053/weighted_maximin_time_avg_cri_l050_20260325_215143/best,"[2, 14, 22, 10, 32, 11, 23, 4, 31, 18, 26, (20, 22), (21, 22), (10, 16), (3, 4), (16, 10), (10, 17)]","[2, 14, 22, 10, 32, 11, 23, 4, 31, 18, 26]","[(20, 22), (21, 22), (10, 16), (3, 4), (16, 10), (10, 17)]"
