iter,tag,objective_value,triangle_area,var_restore,gini_restore,p90_restore,p90_access_restore,sequence
-1,baseline,39523.8364309399,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,629.845106,[(9, 10), 28, 11, 17, 15, 32, (11, 14)]
0,single_var_restore_sa_init,39523.8364309399,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,629.845106,[(9, 10), 28, 11, 17, 15, 32, (11, 14)]
1,single_var_restore_sa_it0000,59294.88258326664,305.77872521178585,59294.88258326664,0.3809061313212536,617.8070710000001,617.8070710000001,[(9, 10), 28, 11, (11, 14), 15, 32, 17]
2,single_var_restore_sa_it0001,27565.077980827948,326.58595103303867,27565.077980827948,0.33207465342776366,450.8320874999999,484.3298300999998,[17, 28, 11, (9, 10), 15, 32, (11, 14)]
3,single_var_restore_sa_it0002,28058.043841416857,330.57832726735467,28058.043841416857,0.3255451320460272,450.8320874999999,484.3298300999998,[17, 28, 15, (9, 10), 11, 32, (11, 14)]
4,single_var_restore_sa_it0003,80235.61346358914,372.7857809156893,80235.61346358914,0.38554095645754116,663.129862,663.129862,[17, 28, (11, 14), (9, 10), 15, 32, 11]
5,single_var_restore_sa_it0004,28058.043841416857,330.57832726735467,28058.043841416857,0.3255451320460272,450.8320874999999,484.3298300999998,[17, 28, 15, (9, 10), 11, 32, (11, 14)]
6,single_var_restore_sa_it0005,13167.749192323397,235.86297183595153,13167.749192323397,0.34305094830880245,334.82171900000003,409.94103900000005,[17, 15, 11, (9, 10), 28, 32, (11, 14)]
7,single_var_restore_sa_it0006,13167.749192323397,235.08243524517135,13167.749192323397,0.34305094830880245,334.82171900000003,409.94103900000005,[17, 11, 15, (9, 10), 28, 32, (11, 14)]
8,single_var_restore_sa_it0007,13005.609536559508,223.0149277116362,13005.609536559508,0.33904414785276193,334.82171900000003,409.94103900000005,[11, 17, 15, (9, 10), 28, 32, (11, 14)]
9,single_var_restore_sa_it0008,25817.30764639446,276.77949226661997,25817.30764639446,0.3467660822494636,444.4703514999999,477.96809409999986,[11, 17, 28, (9, 10), 15, 32, (11, 14)]
10,single_var_restore_sa_it0009,13249.612385240065,223.66599244184243,13249.612385240065,0.3407090825064092,340.82171900000003,409.94103900000005,[11, 17, 15, (9, 10), 32, 28, (11, 14)]
11,single_var_restore_sa_it0010,10133.039688322204,182.08321626242372,10133.039688322204,0.38483304895920245,290.132121,365.251441,[11, 15, 17, (9, 10), 28, 32, (11, 14)]
12,single_var_restore_sa_it0011,62420.649627759056,465.26666123304767,62420.649627759056,0.2551708527810024,626.687846,702.272109,[32, 15, 17, (9, 10), 28, 11, (11, 14)]
13,single_var_restore_sa_it0012,15392.308049537613,187.45047865335235,15392.308049537613,0.4259602872313968,364.7996761999999,345.251441,[11, 15, 17, (9, 10), 28, (11, 14), 32]
14,single_var_restore_sa_it0013,37426.59341242258,394.1012389857047,37426.59341242258,0.3059333415386676,519.4280814999998,552.9258240999998,[28, 15, 17, (9, 10), 11, 32, (11, 14)]
15,single_var_restore_sa_it0014,13444.433706980008,218.56058513272578,13444.433706980008,0.30985736856684776,303.14703259999993,351.53055659999984,[11, 15, 28, (9, 10), 17, 32, (11, 14)]
16,single_var_restore_sa_it0015,25333.035122046083,279.9830919342201,25333.035122046083,0.3406350333334618,444.4703514999999,477.96809409999986,[11, 28, 17, (9, 10), 15, 32, (11, 14)]
17,single_var_restore_sa_it0016,15091.54764934937,178.3549694473701,15091.54764934937,0.422194495269141,361.914901,367.914901,[11, 15, 17, (9, 10), (11, 14), 32, 28]
18,single_var_restore_sa_it0017,15091.54764934937,178.3549694473701,15091.54764934937,0.422194495269141,361.914901,367.914901,[11, 15, 17, (9, 10), (11, 14), 32, 28]
19,single_var_restore_sa_it0018,62420.649627759056,465.26666123304767,62420.649627759056,0.2551708527810024,626.687846,702.272109,[32, 15, 17, (9, 10), 28, 11, (11, 14)]
20,single_var_restore_sa_it0019,15392.308049537613,187.45047865335235,15392.308049537613,0.4259602872313968,364.7996761999999,345.251441,[11, 15, 17, (9, 10), 28, (11, 14), 32]
21,single_var_restore_sa_it0020,10110.629025167813,193.5670217942275,10110.629025167813,0.3693983168595394,277.0121965999999,310.5099391999999,[11, 15, 17, 28, (9, 10), 32, (11, 14)]
22,single_var_restore_sa_it0021,16324.884458359467,198.9909401895156,16324.884458359467,0.3466631700294285,335.302636,335.302636,[11, 15, (11, 14), 28, (9, 10), 32, 17]
23,single_var_restore_sa_it0022,14623.417493432049,218.9691541125584,14623.417493432049,0.29558161898380386,302.71448899999996,357.5236188999999,[11, 15, 32, 28, (9, 10), 17, (11, 14)]
24,single_var_restore_sa_it0023,22723.37239242748,226.50832204438572,22723.37239242748,0.3707531363054075,408.66447129999983,516.559514,[11, (9, 10), 17, 28, 15, 32, (11, 14)]
25,single_var_restore_sa_it0024,31888.30942068949,253.83691952560523,31888.30942068949,0.34370420012286096,460.173256,460.173256,[11, (11, 14), 17, 28, (9, 10), 32, 15]
26,single_var_restore_sa_it0025,38608.88186532415,413.22325384901654,38608.88186532415,0.31031982628017984,527.4115164999998,575.7950404999999,[28, 15, 17, 11, (9, 10), 32, (11, 14)]
27,single_var_restore_sa_it0026,8570.023243317499,154.4212867581573,8570.023243317499,0.3235082226964099,237.1646126,315.04073700000004,[11, 15, (9, 10), 28, 17, 32, (11, 14)]
28,single_var_restore_sa_it0027,30814.13808615251,352.0851548801487,30814.13808615251,0.316030743678398,470.2331011999999,518.6166251999999,[28, 15, (9, 10), 11, 17, 32, (11, 14)]
