scenario_id,scenario_seed,broken_bus_count,broken_link_count,study_result_dir,csv_path
scenario_001,20260325,14,7,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_213339,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_213339/tradeoff_summary.csv
scenario_002,20260326,11,4,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_213457,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_213457/tradeoff_summary.csv
scenario_003,20260327,9,11,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_213551,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_213551/tradeoff_summary.csv
scenario_004,20260328,8,7,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_213658,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_213658/tradeoff_summary.csv
scenario_005,20260329,15,13,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_213748,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_213748/tradeoff_summary.csv
scenario_006,20260330,10,7,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_213923,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_213923/tradeoff_summary.csv
scenario_007,20260331,15,3,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214025,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214025/tradeoff_summary.csv
scenario_008,20260332,12,3,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214129,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214129/tradeoff_summary.csv
scenario_009,20260333,8,7,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214219,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214219/tradeoff_summary.csv
scenario_010,20260334,13,3,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214311,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214311/tradeoff_summary.csv
scenario_011,20260335,8,4,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214405,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214405/tradeoff_summary.csv
scenario_012,20260336,8,4,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214446,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214446/tradeoff_summary.csv
scenario_013,20260337,9,6,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214531,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214531/tradeoff_summary.csv
scenario_014,20260338,9,10,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214623,results/batch_tradeoff_20260325_213339/scenario_runs/tradeoff_20260325_214623/tradeoff_summary.csv
